19.06.2023. 00:26:12 | INFO  | [c.S.I.ItCompanyApplication] | Starting ItCompanyApplication using Java 17 with PID 3692 (C:\Users\HP\Desktop\8.semestar\bezbednost\projekat\Employees-and-project-management-IT-company\IT-Company\target\classes started by HP in C:\Users\HP\Desktop\8.semestar\bezbednost\projekat\Employees-and-project-management-IT-company\IT-Company)
19.06.2023. 00:26:12 | DEBUG | [c.S.I.ItCompanyApplication] | Running with Spring Boot v3.0.1, Spring v6.0.3
19.06.2023. 00:26:12 | INFO  | [c.S.I.ItCompanyApplication] | No active profile set, falling back to 1 default profile: "default"
19.06.2023. 00:26:14 | INFO  | [o.s.d.r.c.RepositoryConfigurationDelegate] | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
19.06.2023. 00:26:14 | INFO  | [o.s.d.r.c.RepositoryConfigurationDelegate] | Finished Spring Data repository scanning in 272 ms. Found 12 JPA repository interfaces.
19.06.2023. 00:26:16 | INFO  | [o.s.b.w.e.t.TomcatWebServer] | Tomcat initialized with port(s): 8081 (https)
19.06.2023. 00:26:16 | INFO  | [o.a.c.h.Http11NioProtocol] | Initializing ProtocolHandler ["https-jsse-nio-8081"]
19.06.2023. 00:26:16 | INFO  | [o.a.c.c.StandardService] | Starting service [Tomcat]
19.06.2023. 00:26:16 | INFO  | [o.a.c.c.StandardEngine] | Starting Servlet engine: [Apache Tomcat/10.1.4]
19.06.2023. 00:26:16 | INFO  | [o.a.c.c.C.[.[.[/]   ] | Initializing Spring embedded WebApplicationContext
19.06.2023. 00:26:16 | INFO  | [o.s.b.w.s.c.ServletWebServerApplicationContext] | Root WebApplicationContext: initialization completed in 4118 ms
19.06.2023. 00:26:16 | INFO  | [o.h.j.i.u.LogHelper ] | HHH000204: Processing PersistenceUnitInfo [name: default]
19.06.2023. 00:26:16 | INFO  | [o.h.Version         ] | HHH000412: Hibernate ORM core version 6.1.6.Final
19.06.2023. 00:26:17 | WARN  | [o.h.o.deprecation   ] | HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
19.06.2023. 00:26:17 | INFO  | [c.z.h.HikariDataSource] | HikariPool-1 - Starting...
19.06.2023. 00:26:18 | INFO  | [c.z.h.p.HikariPool  ] | HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@1fcaea93
19.06.2023. 00:26:18 | INFO  | [c.z.h.HikariDataSource] | HikariPool-1 - Start completed.
19.06.2023. 00:26:18 | INFO  | [SQL dialect         ] | HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
19.06.2023. 00:26:21 | INFO  | [o.h.e.t.j.p.i.JtaPlatformInitiator] | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
19.06.2023. 00:26:21 | INFO  | [o.s.o.j.LocalContainerEntityManagerFactoryBean] | Initialized JPA EntityManagerFactory for persistence unit 'default'
19.06.2023. 00:26:22 | DEBUG | [c.S.I.c.JwtAuthenticationFilter] | Filter 'jwtAuthenticationFilter' configured for use
19.06.2023. 00:26:23 | WARN  | [o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration] | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
19.06.2023. 00:26:24 | INFO  | [o.s.s.w.DefaultSecurityFilterChain] | Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@9223122, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3c2b7322, org.springframework.security.web.context.SecurityContextHolderFilter@19d85bbe, org.springframework.security.web.header.HeaderWriterFilter@76334a3a, org.springframework.web.filter.CorsFilter@7731504, org.springframework.security.web.authentication.logout.LogoutFilter@6eed5b68, com.SIEBS.ITCompany.config.JwtAuthenticationFilter@7be95197, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@248227db, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@4951c45f, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@43c25e89, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@628721ba, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@67d8e214, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5b71ccf2, org.springframework.security.web.session.SessionManagementFilter@28cfbcc, org.springframework.security.web.access.ExceptionTranslationFilter@5aa0d535, org.springframework.security.web.access.intercept.AuthorizationFilter@7f8586f9]
19.06.2023. 00:26:24 | INFO  | [o.a.c.h.Http11NioProtocol] | Starting ProtocolHandler ["https-jsse-nio-8081"]
19.06.2023. 00:26:25 | INFO  | [o.s.b.w.e.t.TomcatWebServer] | Tomcat started on port(s): 8081 (https) with context path ''
19.06.2023. 00:26:25 | INFO  | [o.s.m.s.b.SimpleBrokerMessageHandler] | Starting...
19.06.2023. 00:26:25 | INFO  | [o.s.m.s.b.SimpleBrokerMessageHandler] | BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@71586f]]
19.06.2023. 00:26:25 | INFO  | [o.s.m.s.b.SimpleBrokerMessageHandler] | Started.
19.06.2023. 00:26:25 | INFO  | [c.S.I.ItCompanyApplication] | Started ItCompanyApplication in 14.2 seconds (process running for 15.681)
19.06.2023. 00:26:30 | INFO  | [o.a.c.c.C.[.[.[/]   ] | Initializing Spring DispatcherServlet 'dispatcherServlet'
19.06.2023. 00:26:30 | INFO  | [o.s.w.s.DispatcherServlet] | Initializing Servlet 'dispatcherServlet'
